Age,Gender,EmploymentStatus,MonthlyIncome,Education,FlightsPerYear,TravelPurpose,AvgSpendPerFlight,Class,AirlinePrefReason,ValuedServices,PainPoints,BundledOfferInterest,PersonalizationImportance,CustomizableServices,BookingDevice,TechComfortLevel,AppUsage,DataSharingConsent,WillingToUsePersonalizationApp,WillingToPayExtra,PercentWillingToSpendMore,RecommendsInAppOffers,TrustsAirlinesWithData,WillRecommendToOthers
30,Other,Employed,4585,High school,0-1,Family,230,Economy,Pricing,"Customer Service, Others, Food, WiFi","Delays, Baggage loss, Limited amenities",Yes,2,"Seats, Boarding experience",App,5,Yes,Maybe,Yes,Yes,15,No,No,Yes
36,Female,Self-employed,1984,Bachelor’s,5-8,Other,491,Premium Economy,Brand,"Entertainment, WiFi, Cleanliness, Legroom","Lack of customization, Delays, Limited amenities",Yes,5,"Meals, Entertainment",App,2,No,No,Yes,No,15,Yes,Maybe,Yes
45,Other,Student,4396,Bachelor’s,5-8,Business,368,Economy,Others,"Entertainment, Others","Baggage loss, Expensive tickets, Limited amenities",No,5,"Entertainment, Seats",App,4,No,Yes,Yes,Yes,0,Yes,Maybe,Yes
28,Other,Employed,3496,Doctorate,9+,Business,546,Economy,Pricing,"Customer Service, WiFi","Lack of customization, Limited amenities",Yes,4,Seats,Website,3,Yes,No,Yes,Yes,0,Yes,Maybe,Yes
23,Male,Self-employed,1205,Other,9+,Leisure,525,Premium Economy,Service,"Legroom, WiFi",Limited amenities,No,4,"Others, Meals, Entertainment",App,1,No,Yes,Maybe,Yes,5,Yes,No,No
37,Other,Employed,3542,Bachelor’s,0-1,Leisure,303,First Class,Brand,"Others, WiFi, Entertainment","Limited amenities, Lack of customization",No,5,"Seats, Others",Website,2,No,Yes,Yes,Yes,10,No,No,Yes
34,Other,Unemployed,5346,Other,0-1,Other,340,Premium Economy,Brand,Cleanliness,"Delays, Lack of customization",Yes,3,"Seats, Entertainment",Agent,3,Yes,Maybe,Maybe,No,0,No,No,No
34,Other,Retired,3130,Bachelor’s,2-4,Other,355,First Class,Service,"Legroom, Customer Service, WiFi","Expensive tickets, Baggage loss",No,5,"Others, Entertainment, Check-in process",Website,4,Yes,Maybe,Yes,Yes,10,Yes,Maybe,Yes
32,Male,Self-employed,3535,Other,5-8,Business,281,Premium Economy,Brand,"Others, Food",Delays,Yes,2,"Boarding experience, Seats",Website,4,Yes,Maybe,No,No,0,No,Yes,Yes
42,Male,Student,1787,Doctorate,2-4,Leisure,324,First Class,Pricing,"Others, WiFi","Baggage loss, Poor customer service",No,4,"Others, Boarding experience, Check-in process",Agent,4,Yes,Maybe,Maybe,No,15,No,Yes,No
44,Prefer not to say,Employed,3493,Master’s,9+,Business,605,Business,Service,"Entertainment, Others, Customer Service",Baggage loss,Yes,2,"Others, Meals",Agent,2,Yes,No,Yes,Yes,15,No,No,Yes
36,Male,Employed,1946,Doctorate,9+,Business,350,First Class,Loyalty Program,Entertainment,"Poor customer service, Limited amenities",Yes,4,Entertainment,Website,4,Yes,No,Yes,No,5,Yes,No,Yes
37,Female,Retired,3391,Other,0-1,Other,100,Economy,Pricing,"Food, Legroom, Others, WiFi","Poor customer service, Expensive tickets",Yes,4,"Entertainment, Check-in process",Website,4,No,Yes,Yes,Yes,5,Yes,No,Yes
38,Female,Student,2485,High school,0-1,Leisure,279,Premium Economy,Pricing,"Food, Others","Limited amenities, Delays",Yes,4,"Entertainment, Others, Meals",Agent,5,Yes,Yes,Maybe,Yes,5,Yes,No,No
53,Prefer not to say,Employed,3261,High school,2-4,Business,397,Business,Others,Others,"Delays, Expensive tickets, Poor customer service",No,1,"Others, Entertainment, Seats",Website,4,Yes,No,Maybe,No,5,Yes,No,Yes
18,Other,Retired,3090,Other,9+,Other,769,First Class,Others,"Entertainment, Food, WiFi","Poor customer service, Baggage loss",No,5,"Others, Check-in process, Entertainment",App,4,No,Yes,Yes,Yes,5,No,No,Yes
33,Other,Self-employed,3452,Other,5-8,Business,450,Premium Economy,Pricing,"Cleanliness, Legroom","Lack of customization, Baggage loss",No,4,"Seats, Others",Website,2,No,Maybe,Yes,Yes,5,No,No,Yes
34,Other,Unemployed,4714,Other,5-8,Family,512,First Class,Brand,"Entertainment, Food, WiFi","Baggage loss, Expensive tickets, Delays",Yes,2,Others,Website,3,No,Yes,Maybe,No,10,Yes,No,Yes
49,Other,Student,897,Other,2-4,Family,267,Economy,Pricing,"Cleanliness, Food, Legroom",Delays,No,4,"Check-in process, Entertainment",App,1,No,No,Yes,Yes,15,No,No,Yes
35,Male,Retired,1514,High school,2-4,Leisure,315,Business,Pricing,"WiFi, Customer Service","Lack of customization, Limited amenities",Yes,5,"Check-in process, Others",Website,5,No,No,Yes,Yes,10,Yes,Yes,Yes
19,Female,Self-employed,3102,High school,2-4,Leisure,480,Premium Economy,Others,Food,Poor customer service,No,5,"Entertainment, Seats",App,3,No,Maybe,Maybe,Yes,5,Yes,No,Yes
25,Prefer not to say,Student,1825,Other,2-4,Leisure,351,Business,Service,WiFi,Expensive tickets,No,4,Check-in process,Agent,3,No,No,Yes,No,15,No,Yes,Yes
43,Male,Unemployed,1153,Master’s,5-8,Business,604,Economy,Service,Others,"Expensive tickets, Lack of customization, Delays",Yes,4,"Others, Check-in process, Entertainment",App,5,No,Maybe,Maybe,Yes,5,No,No,No
60,Other,Self-employed,3389,High school,2-4,Family,517,First Class,Loyalty Program,"Cleanliness, Legroom, Customer Service",Poor customer service,Yes,3,"Entertainment, Seats",Website,5,Yes,Maybe,Maybe,No,5,No,Yes,Yes
40,Other,Retired,3445,Doctorate,9+,Business,492,Premium Economy,Brand,"Entertainment, Legroom","Poor customer service, Delays, Lack of customization",Yes,2,"Boarding experience, Seats",Agent,4,Yes,Yes,Maybe,Yes,0,No,Yes,Yes
47,Prefer not to say,Self-employed,3439,Other,5-8,Other,292,First Class,Loyalty Program,"Legroom, Customer Service",Poor customer service,Yes,5,"Others, Meals, Seats",Website,4,No,Maybe,Yes,Yes,0,Yes,No,Yes
53,Other,Retired,3710,Other,9+,Leisure,510,First Class,Others,"Entertainment, Others, Customer Service, Legroom","Expensive tickets, Baggage loss",Yes,5,"Meals, Check-in process",App,3,No,Maybe,Maybe,No,5,No,Maybe,Yes
25,Prefer not to say,Student,4737,Bachelor’s,5-8,Business,276,First Class,Pricing,"WiFi, Cleanliness, Food, Legroom","Baggage loss, Delays, Poor customer service",No,3,"Others, Check-in process, Seats",Website,5,No,No,No,No,15,Yes,Maybe,Yes
43,Female,Self-employed,5845,Bachelor’s,0-1,Other,194,Economy,Pricing,"Food, Cleanliness, Entertainment, WiFi",Expensive tickets,Yes,3,"Entertainment, Check-in process",App,2,No,Maybe,No,Yes,5,Yes,Yes,Yes
27,Prefer not to say,Retired,2884,Bachelor’s,9+,Leisure,451,Premium Economy,Loyalty Program,"Legroom, Entertainment, WiFi","Expensive tickets, Lack of customization",Yes,1,"Entertainment, Boarding experience",Website,4,No,No,Maybe,Yes,10,No,No,Yes
35,Female,Unemployed,5180,Other,5-8,Family,189,Business,Pricing,"Entertainment, WiFi, Customer Service, Cleanliness","Limited amenities, Poor customer service, Expensive tickets",Yes,5,"Meals, Others",Agent,3,Yes,Maybe,Yes,Yes,10,Yes,No,Yes
34,Prefer not to say,Student,1393,Other,5-8,Leisure,472,Economy,Brand,"Cleanliness, Legroom, Food",Baggage loss,No,5,"Entertainment, Meals, Others",Website,3,No,Yes,Yes,Yes,20,Yes,Yes,Yes
32,Prefer not to say,Retired,4071,Master’s,0-1,Other,381,Economy,Brand,Legroom,"Limited amenities, Expensive tickets",No,3,Others,App,4,Yes,Maybe,Maybe,No,20,Yes,Maybe,Yes
42,Prefer not to say,Self-employed,1729,Doctorate,0-1,Leisure,172,Economy,Pricing,"Legroom, WiFi, Cleanliness",Lack of customization,Yes,4,"Entertainment, Boarding experience",Website,5,Yes,No,No,No,5,No,No,Yes
37,Other,Employed,1131,Doctorate,9+,Leisure,494,Business,Pricing,"Customer Service, Cleanliness, Entertainment",Poor customer service,No,2,Check-in process,App,2,Yes,Yes,No,Yes,0,Yes,Maybe,Yes
52,Male,Retired,3087,Bachelor’s,2-4,Leisure,228,Business,Service,Entertainment,Baggage loss,No,2,Others,App,2,Yes,No,No,Yes,10,No,Yes,Yes
45,Other,Student,4580,Bachelor’s,9+,Business,535,Economy,Loyalty Program,"Others, Entertainment, Customer Service, WiFi","Lack of customization, Baggage loss",Yes,5,"Check-in process, Seats",App,4,No,No,No,No,15,No,Yes,Yes
28,Other,Retired,3772,Bachelor’s,0-1,Leisure,977,Business,Others,"Legroom, Customer Service, Cleanliness","Poor customer service, Lack of customization",No,1,"Seats, Boarding experience, Meals",Website,4,Yes,No,Yes,Yes,10,No,No,Yes
44,Prefer not to say,Student,3977,Master’s,9+,Family,227,Business,Brand,"Cleanliness, Legroom",Delays,Yes,1,"Seats, Entertainment",App,5,Yes,Maybe,Maybe,No,0,Yes,No,No
19,Prefer not to say,Student,2271,Master’s,5-8,Family,412,Economy,Others,"Food, Cleanliness","Baggage loss, Delays",No,5,"Seats, Entertainment",Agent,2,No,Maybe,Maybe,Yes,10,No,Yes,Yes
41,Other,Self-employed,580,Master’s,5-8,Business,266,Premium Economy,Service,"WiFi, Food, Others, Customer Service","Lack of customization, Baggage loss, Poor customer service",No,4,"Meals, Entertainment",Website,3,Yes,Yes,Yes,Yes,10,Yes,No,Yes
31,Prefer not to say,Unemployed,1927,Doctorate,9+,Other,501,Business,Service,Entertainment,"Delays, Expensive tickets",No,5,"Entertainment, Seats, Meals",Website,5,Yes,Yes,Yes,Yes,0,Yes,No,Yes
35,Other,Self-employed,2022,High school,0-1,Other,604,First Class,Service,"Legroom, Customer Service","Baggage loss, Lack of customization, Expensive tickets",Yes,4,"Seats, Check-in process, Others",Website,1,No,Maybe,Yes,No,20,No,No,Yes
43,Male,Unemployed,500,High school,5-8,Leisure,427,First Class,Brand,Legroom,Baggage loss,No,5,"Boarding experience, Seats",Website,3,No,Yes,Yes,Yes,5,Yes,Maybe,Yes
27,Male,Retired,2827,Other,2-4,Family,284,Business,Service,"WiFi, Food","Baggage loss, Limited amenities",Yes,1,Others,Website,4,No,Maybe,Maybe,No,0,No,Yes,No
51,Male,Unemployed,2287,Doctorate,5-8,Family,302,Economy,Brand,Entertainment,"Poor customer service, Delays",Yes,3,"Seats, Others",Agent,5,No,No,Yes,Yes,10,No,Maybe,Yes
22,Female,Self-employed,14049,Other,2-4,Business,456,First Class,Pricing,"Cleanliness, WiFi, Customer Service","Baggage loss, Delays, Limited amenities",No,4,"Boarding experience, Others, Meals",Website,3,No,No,Yes,Yes,10,No,Maybe,Yes
51,Male,Self-employed,720,High school,5-8,Business,327,First Class,Brand,"Cleanliness, Others, Customer Service",Expensive tickets,Yes,5,"Meals, Entertainment, Boarding experience",Agent,4,Yes,Maybe,No,Yes,15,No,Maybe,No
39,Other,Employed,4161,Other,0-1,Other,397,Business,Pricing,"Entertainment, Food, Cleanliness","Poor customer service, Baggage loss",Yes,2,Seats,Website,1,Yes,Maybe,Yes,Yes,5,Yes,Maybe,Yes
25,Prefer not to say,Employed,2621,Bachelor’s,2-4,Leisure,212,First Class,Pricing,"Entertainment, Cleanliness, Food, Legroom","Expensive tickets, Poor customer service, Baggage loss",Yes,3,"Meals, Entertainment",Agent,5,No,No,No,No,10,No,Yes,Yes
30,Female,Self-employed,3196,High school,9+,Family,408,Economy,Others,Entertainment,Baggage loss,No,4,"Meals, Check-in process, Seats",App,4,No,Yes,Yes,Yes,15,No,Maybe,Yes
58,Other,Employed,1527,Doctorate,0-1,Family,469,Premium Economy,Pricing,"WiFi, Cleanliness, Entertainment",Baggage loss,Yes,3,"Others, Meals",Agent,4,No,Maybe,Yes,Yes,10,Yes,No,Yes
35,Female,Employed,2422,Other,9+,Business,115,Business,Service,"WiFi, Others, Food","Limited amenities, Lack of customization",No,1,Check-in process,Agent,5,Yes,Maybe,Yes,Yes,10,Yes,No,Yes
47,Prefer not to say,Student,6199,Other,5-8,Leisure,107,First Class,Service,Customer Service,"Delays, Lack of customization",Yes,4,"Seats, Check-in process",Website,3,Yes,No,No,No,5,Yes,Maybe,Yes
37,Other,Employed,2065,High school,5-8,Family,532,Premium Economy,Loyalty Program,"Cleanliness, Food, Others, WiFi","Poor customer service, Delays, Expensive tickets",Yes,1,Seats,Website,3,No,Maybe,Yes,Yes,0,Yes,No,Yes
30,Other,Student,2115,Master’s,5-8,Business,527,Business,Loyalty Program,"Cleanliness, Legroom, Others, Entertainment",Poor customer service,No,3,"Entertainment, Seats, Check-in process",App,4,Yes,Maybe,Yes,Yes,10,Yes,No,Yes
43,Other,Self-employed,3460,Doctorate,9+,Leisure,305,First Class,Brand,"WiFi, Cleanliness, Entertainment, Legroom","Limited amenities, Delays",Yes,4,"Boarding experience, Meals",App,2,No,Yes,Yes,Yes,0,Yes,Maybe,Yes
43,Other,Self-employed,11397,Other,0-1,Leisure,491,First Class,Brand,"Legroom, WiFi, Customer Service",Lack of customization,No,4,"Others, Entertainment",App,1,Yes,Maybe,Yes,Yes,5,No,Maybe,Yes
47,Male,Self-employed,2112,Master’s,9+,Leisure,632,Business,Loyalty Program,"WiFi, Food",Poor customer service,Yes,4,Others,Website,3,Yes,Maybe,Yes,No,15,Yes,Maybe,Yes
30,Female,Self-employed,4958,Other,2-4,Business,403,Premium Economy,Service,"Others, Legroom",Expensive tickets,No,4,"Meals, Boarding experience, Seats",App,3,No,Maybe,No,No,15,No,Maybe,Yes
38,Female,Self-employed,9212,Doctorate,9+,Family,686,Premium Economy,Others,"Others, Food","Lack of customization, Delays",Yes,5,Entertainment,App,2,No,Maybe,Yes,Yes,5,No,Yes,Yes
45,Other,Employed,1490,Other,5-8,Leisure,217,Business,Others,Customer Service,"Baggage loss, Lack of customization, Limited amenities",Yes,5,"Boarding experience, Entertainment, Seats",App,1,Yes,Maybe,No,No,15,Yes,Maybe,No
41,Male,Unemployed,3942,Other,5-8,Family,295,First Class,Service,"Entertainment, Legroom, WiFi, Customer Service",Poor customer service,No,4,"Meals, Entertainment",Agent,2,No,Maybe,Yes,Yes,10,No,No,Yes
34,Female,Self-employed,4462,Other,0-1,Family,377,Premium Economy,Loyalty Program,Entertainment,"Baggage loss, Limited amenities",Yes,1,"Check-in process, Boarding experience",Website,2,Yes,No,Maybe,No,0,Yes,Yes,No
39,Prefer not to say,Unemployed,2154,Master’s,9+,Business,335,Economy,Loyalty Program,"Food, Others, Customer Service, Entertainment",Delays,No,4,"Others, Check-in process, Entertainment",Agent,1,Yes,No,Yes,No,15,No,No,Yes
37,Other,Student,2293,Doctorate,0-1,Leisure,434,Business,Others,"WiFi, Legroom, Customer Service","Lack of customization, Expensive tickets",Yes,2,Check-in process,Website,3,No,Yes,Yes,No,20,Yes,Yes,Yes
20,Male,Employed,888,Master’s,9+,Other,300,Premium Economy,Others,"Entertainment, Customer Service","Baggage loss, Poor customer service",No,5,"Boarding experience, Others",Agent,4,No,No,Maybe,No,0,No,Maybe,Yes
48,Prefer not to say,Retired,3466,Master’s,0-1,Other,621,Business,Others,"Cleanliness, WiFi","Poor customer service, Baggage loss, Limited amenities",Yes,2,Boarding experience,Agent,1,Yes,Yes,Yes,Yes,20,No,Yes,Yes
34,Prefer not to say,Employed,1496,Doctorate,9+,Business,297,Premium Economy,Others,"Customer Service, Entertainment","Poor customer service, Lack of customization, Limited amenities",No,2,"Boarding experience, Entertainment",Agent,3,No,Maybe,Yes,Yes,0,No,Maybe,Yes
34,Other,Employed,3484,Master’s,5-8,Leisure,275,First Class,Brand,"Entertainment, Customer Service, Others, Cleanliness",Lack of customization,No,4,"Meals, Entertainment",App,3,Yes,No,Maybe,No,10,No,Yes,Yes
33,Other,Retired,3602,Master’s,2-4,Business,348,Premium Economy,Service,Cleanliness,"Baggage loss, Limited amenities, Delays",Yes,4,"Others, Check-in process",App,2,Yes,Maybe,Maybe,Yes,20,No,Maybe,No
39,Prefer not to say,Employed,3336,Master’s,5-8,Family,401,Economy,Pricing,"Customer Service, Cleanliness","Delays, Baggage loss, Poor customer service",Yes,1,"Check-in process, Meals",Agent,3,Yes,Yes,Yes,Yes,10,Yes,No,Yes
35,Other,Unemployed,3746,Other,9+,Leisure,335,First Class,Brand,"Others, WiFi","Baggage loss, Poor customer service",No,2,Others,Website,3,Yes,Yes,No,No,10,No,Maybe,No
53,Male,Unemployed,4308,High school,2-4,Leisure,427,First Class,Brand,"WiFi, Entertainment","Baggage loss, Poor customer service",No,3,"Boarding experience, Others",App,3,No,Maybe,Yes,Yes,5,Yes,No,Yes
56,Other,Employed,1787,Doctorate,5-8,Business,376,Business,Brand,"Food, Others","Baggage loss, Poor customer service",No,4,"Boarding experience, Check-in process, Meals",App,5,Yes,Maybe,Yes,No,5,Yes,Maybe,Yes
21,Male,Student,6807,Other,2-4,Leisure,422,Premium Economy,Brand,"WiFi, Cleanliness, Food, Legroom",Lack of customization,No,1,"Meals, Boarding experience",Website,4,Yes,Maybe,Yes,Yes,20,No,Maybe,Yes
38,Male,Unemployed,5814,Master’s,0-1,Leisure,485,Economy,Pricing,"Entertainment, Cleanliness, WiFi, Customer Service",Poor customer service,Yes,3,"Meals, Others",Agent,4,No,No,Yes,Yes,0,No,No,Yes
44,Male,Retired,1019,Bachelor’s,5-8,Business,674,Premium Economy,Others,"Customer Service, Food, Cleanliness, WiFi",Expensive tickets,No,5,"Boarding experience, Check-in process",App,2,No,No,Yes,Yes,15,Yes,Yes,Yes
46,Prefer not to say,Retired,8110,High school,2-4,Leisure,444,Economy,Pricing,Legroom,"Limited amenities, Delays, Baggage loss",Yes,4,"Meals, Boarding experience",App,1,Yes,Maybe,Maybe,Yes,5,No,Maybe,No
24,Female,Self-employed,2828,Bachelor’s,2-4,Other,585,Business,Brand,Customer Service,"Limited amenities, Baggage loss, Poor customer service",No,1,"Others, Check-in process",Agent,3,No,No,Yes,No,5,Yes,Maybe,Yes
35,Prefer not to say,Employed,3070,Bachelor’s,5-8,Leisure,353,First Class,Pricing,"Legroom, Customer Service, Cleanliness, Food","Baggage loss, Expensive tickets",Yes,3,"Seats, Check-in process, Entertainment",App,5,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes
19,Female,Retired,3180,Other,2-4,Other,477,Premium Economy,Brand,"WiFi, Food, Cleanliness","Delays, Poor customer service, Baggage loss",Yes,4,Boarding experience,Website,3,No,No,Yes,Yes,10,No,No,Yes
19,Other,Self-employed,4916,Other,9+,Other,436,Economy,Loyalty Program,"Food, Entertainment, Cleanliness","Delays, Lack of customization",Yes,2,Entertainment,Agent,5,No,No,Yes,Yes,15,No,Yes,Yes
55,Prefer not to say,Retired,4768,Bachelor’s,9+,Family,410,Business,Loyalty Program,"Legroom, Food, Entertainment, Cleanliness",Limited amenities,No,2,"Others, Seats, Boarding experience",App,1,Yes,No,Yes,Yes,10,Yes,Yes,Yes
32,Female,Student,4457,Bachelor’s,9+,Family,623,Economy,Others,"Cleanliness, Legroom, WiFi, Customer Service","Lack of customization, Poor customer service, Delays",Yes,5,"Entertainment, Boarding experience, Others",App,5,No,Yes,Yes,Yes,5,Yes,Maybe,Yes
43,Female,Employed,4587,Bachelor’s,5-8,Family,136,Business,Loyalty Program,Entertainment,"Poor customer service, Lack of customization",Yes,2,"Others, Seats",Agent,1,Yes,No,Yes,Yes,5,No,Yes,Yes
32,Male,Employed,4076,High school,9+,Other,326,Business,Others,Customer Service,Baggage loss,Yes,5,"Entertainment, Seats",App,3,Yes,Yes,Maybe,No,10,Yes,Yes,Yes
48,Prefer not to say,Student,500,Master’s,2-4,Leisure,391,First Class,Others,"Legroom, Cleanliness, Food","Limited amenities, Delays, Expensive tickets",Yes,1,"Meals, Seats",Website,5,No,No,Yes,No,20,No,No,Yes
18,Female,Self-employed,2866,Other,9+,Other,381,Premium Economy,Others,"WiFi, Customer Service, Entertainment, Food","Delays, Limited amenities, Expensive tickets",Yes,4,"Others, Meals, Check-in process",Website,3,Yes,Yes,Yes,No,0,No,No,Yes
34,Other,Student,3549,Bachelor’s,0-1,Leisure,259,First Class,Loyalty Program,"WiFi, Others, Cleanliness, Entertainment","Delays, Lack of customization, Expensive tickets",No,1,"Check-in process, Others",App,5,Yes,Maybe,Yes,Yes,5,No,Yes,Yes
34,Female,Self-employed,4432,Master’s,5-8,Other,332,Premium Economy,Pricing,"Legroom, Entertainment","Expensive tickets, Poor customer service",Yes,3,"Meals, Check-in process",Agent,5,Yes,No,Yes,Yes,0,No,Yes,Yes
30,Prefer not to say,Self-employed,2204,Other,9+,Family,281,First Class,Brand,"Others, Cleanliness, Customer Service, Food","Expensive tickets, Lack of customization",Yes,4,"Meals, Check-in process",Website,3,No,Maybe,No,No,0,No,No,No
33,Other,Student,1447,Other,2-4,Leisure,408,Economy,Loyalty Program,"Legroom, Entertainment","Delays, Poor customer service, Lack of customization",Yes,3,Entertainment,Agent,2,No,No,Yes,No,10,No,Maybe,Yes
18,Prefer not to say,Retired,1950,High school,5-8,Business,432,Economy,Service,"Food, Cleanliness, Customer Service",Lack of customization,No,3,"Seats, Others",App,3,Yes,Maybe,No,Yes,20,No,No,No
33,Prefer not to say,Retired,2668,Other,2-4,Family,289,Economy,Loyalty Program,Entertainment,"Delays, Limited amenities",Yes,3,"Entertainment, Check-in process",App,5,No,No,Yes,No,5,No,No,Yes
40,Male,Self-employed,2587,High school,0-1,Business,100,Business,Pricing,"Cleanliness, Food","Baggage loss, Lack of customization, Limited amenities",No,5,"Check-in process, Meals",Website,2,Yes,Maybe,No,No,5,Yes,Maybe,Yes
51,Prefer not to say,Retired,2626,Doctorate,9+,Business,527,Premium Economy,Service,"Others, Cleanliness, WiFi","Delays, Lack of customization, Baggage loss",No,3,Check-in process,App,3,No,Maybe,Maybe,No,15,No,Maybe,No
25,Male,Self-employed,7618,Master’s,9+,Leisure,567,Business,Others,Cleanliness,Expensive tickets,Yes,2,"Seats, Meals",Website,2,No,No,Yes,Yes,5,No,No,Yes
18,Female,Unemployed,3305,Other,2-4,Leisure,371,First Class,Brand,"Food, Entertainment","Lack of customization, Delays",No,1,"Meals, Others",Website,5,No,No,No,No,5,No,No,Yes
34,Male,Retired,2030,High school,2-4,Family,237,Economy,Brand,"Customer Service, Entertainment",Poor customer service,No,5,"Seats, Boarding experience, Others",Website,5,No,Maybe,Maybe,Yes,15,No,Maybe,Yes
51,Prefer not to say,Student,4322,Bachelor’s,5-8,Business,268,First Class,Brand,"Others, WiFi, Legroom",Baggage loss,Yes,5,"Entertainment, Boarding experience, Check-in process",App,5,Yes,Yes,Maybe,Yes,10,No,Maybe,No
34,Female,Self-employed,5284,Master’s,5-8,Family,480,Economy,Service,"WiFi, Entertainment, Food, Customer Service",Baggage loss,No,2,"Check-in process, Others, Meals",Agent,3,No,No,Yes,Yes,0,Yes,No,Yes
26,Other,Self-employed,925,Doctorate,9+,Family,112,Economy,Pricing,"Cleanliness, Others, Entertainment, WiFi","Poor customer service, Baggage loss, Limited amenities",Yes,4,"Entertainment, Others",Website,5,Yes,Maybe,Maybe,No,20,Yes,Yes,Yes
44,Prefer not to say,Student,902,High school,2-4,Other,484,First Class,Pricing,"Food, Cleanliness, Others, Entertainment",Expensive tickets,Yes,3,"Seats, Entertainment",Agent,2,Yes,No,No,Yes,0,No,Maybe,Yes
28,Male,Student,2269,Bachelor’s,9+,Business,275,Premium Economy,Others,"Customer Service, Cleanliness","Delays, Limited amenities",No,1,"Others, Meals",Website,1,Yes,No,Yes,Yes,15,Yes,No,Yes
29,Other,Self-employed,3072,Bachelor’s,9+,Leisure,275,Premium Economy,Pricing,Customer Service,"Baggage loss, Poor customer service, Expensive tickets",Yes,2,"Boarding experience, Check-in process",App,1,Yes,Yes,No,No,20,No,No,No
32,Female,Employed,4185,High school,2-4,Family,435,Economy,Brand,"Customer Service, Others","Baggage loss, Poor customer service, Expensive tickets",Yes,2,"Check-in process, Seats",App,4,Yes,Maybe,Maybe,Yes,5,No,No,Yes
37,Prefer not to say,Retired,3751,Doctorate,5-8,Leisure,253,First Class,Pricing,Customer Service,Delays,No,2,Seats,Website,5,No,Maybe,No,No,10,No,Maybe,No
18,Male,Retired,3815,Other,2-4,Family,315,Economy,Brand,Customer Service,Baggage loss,No,4,"Others, Seats, Entertainment",Agent,4,Yes,Yes,Yes,Yes,5,No,Yes,Yes
24,Prefer not to say,Retired,558,Other,0-1,Family,407,Premium Economy,Pricing,Cleanliness,Limited amenities,Yes,2,"Entertainment, Boarding experience",Agent,3,Yes,No,Yes,No,10,Yes,Yes,Yes
41,Other,Unemployed,507,Master’s,0-1,Family,817,Economy,Loyalty Program,"Customer Service, Entertainment, WiFi, Legroom","Baggage loss, Expensive tickets, Limited amenities",No,1,"Others, Seats, Meals",Agent,5,Yes,Yes,Maybe,Yes,0,Yes,Yes,No
18,Other,Unemployed,1709,Bachelor’s,2-4,Business,342,First Class,Service,"Food, Legroom, Entertainment","Delays, Lack of customization",No,1,"Others, Seats, Meals",App,5,Yes,No,Yes,No,20,No,No,Yes
45,Other,Student,2134,Other,9+,Business,565,Business,Service,"Customer Service, Entertainment, Others",Poor customer service,No,5,"Meals, Boarding experience",App,2,Yes,No,Yes,No,10,Yes,No,Yes
